"zip_code","Population","MedianIncome","city","state","latitude","longitude"
91325,32823,57883,"Northridge","CA",34.235055,-118.51766
91326,36024,98831,"Northridge","CA",34.276154,-118.54581
91330,2708,0,"Northridge","CA",33.786594,-118.298662
91331,102367,51345,"Pacoima","CA",34.254751,-118.42406
91335,77952,51398,"Reseda","CA",34.200104,-118.54099
91340,35455,55217,"San Fernando","CA",34.284935,-118.43821
91342,91701,60899,"Sylmar","CA",34.307877,-118.42904
91343,61976,55238,"North Hills","CA",34.239503,-118.48224
91344,53165,77247,"Granada Hills","CA",34.277648,-118.50047
91345,18196,60148,"Mission Hills","CA",34.264635,-118.45961
91350,35826,97921,"Santa Clarita","CA",34.481172,-118.42821
91351,32433,70858,"Canyon Country","CA",34.424794,-118.44513
91352,46874,49088,"Sun Valley","CA",34.224089,-118.37563
91354,29034,111098,"Valencia","CA",34.445313,-118.55252
91355,33635,89596,"Valencia","CA",34.406519,-118.56214
91356,29847,69148,"Tarzana","CA",34.164255,-118.54472
91360,44208,91617,"Thousand Oaks","CA",34.208837,-118.87348
91361,20266,103306,"Westlake Village","CA",34.14348,-118.85608
91362,35564,100747,"Thousand Oaks","CA",34.190804,-118.83704
91364,26975,93919,"Woodland Hills","CA",34.158214,-118.60061
91367,42029,77152,"Woodland Hills","CA",34.176238,-118.61992
91371,0,0,"Woodland Hills","CA",33.786594,-118.298662
91377,14512,117326,"Oak Park","CA",34.182875,-118.76893
91381,20296,114608,"Stevenson Ranch","CA",34.384663,-118.58704
91384,28949,102273,"Castaic","CA",34.478797,-118.65255
91387,42518,82076,"Santa Clarita","CA",34.421537,-118.419181
91390,19691,105659,"Santa Clarita","CA",34.490004,-118.300826
91401,40503,48994,"Van Nuys","CA",34.176505,-118.43308
91402,70781,39009,"Panorama City","CA",34.223753,-118.44322
91403,24353,75334,"Sherman Oaks","CA",34.152513,-118.46396
91405,53406,38162,"Van Nuys","CA",34.199704,-118.44724
91406,53528,50381,"Van Nuys","CA",34.201491,-118.49376
91411,24146,43758,"Van Nuys","CA",34.178305,-118.45858
91423,32130,75671,"Sherman Oaks","CA",34.153628,-118.43222
91436,14563,128060,"Encino","CA",34.155625,-118.48925
91501,19829,62500,"Burbank","CA",34.186755,-118.30153
